Sentence,Label
"We collect personal information from and about you for a variety of purposes and may disclose it to our service providers, business partners and other third parties as described below and in our Privacy Statement.",High Risk
"Collection, Use and Disclosure of Personal Information We collect personal information from and about you for a variety of purposes.",High Risk
"Code Â 1798.80 e such as name, contact information, payment information Directly from you From your institution Our business partners Yes Protected Classification Characteristics, such as age or disability if provided for accommodation purposes Directly from you Yes Commercial Information related to the products that you or your institution have purchased or intend to purchase Directly from you From your institution Your browser or device Yes Internet Network Information, such as device information, IP address, logs and analytics data Your browser or device Yes Geolocation Data, such as precise location information from your device or rough location generated based on IP address Your browser or device Yes Sensory Information, such as recordings of phone calls with us, where permitted by law Directly from you Yes Profession Employment Information, such as the institution you are affiliated with and your role in the organization Directly from you From your institution Our business partners and affiliates Yes Other Personal Information that may be contained in online chat, document uploads, and user-generated content Directly from you Your browser or device Yes Inferences about your interests and preferences generated or derived from your usage of our services Directly from you Your browser or device Yes The categories of third parties to whom we have disclosed personal information for a business purpose include Our service providers.",High Risk
We will not collect your photographs or videos unless you submit a photograph or video voluntarily as part of your recruitment application.,High Risk
"Information collected from students including personal information and information collected automatically is never used or disclosed for third-party advertising, including any kind of first- or third-party behaviorally targeted advertising, and childrenâ s personal information is never sold or rented to anyone, including marketers or advertisers.",High Risk
"Initial Notice Upon the discovery of a security breach that results in the unauthorized release, disclosure or acquisition of personal information, we will notify electronically of such discovery to all affected users.",High Risk
"If you have signed up for BLOOKET STARTER, a limited version of our Services, we will not store or collect your payment card details.",High Risk
"Without limiting the generality of the foregoing, if you submit material i.e., user-generated content, including, but not limited to comments, text, video, audio, and photographs to this site, any other site owned by BLP and its affiliates or to BLP or its representative, or if you send us creative suggestions, ideas, notes, concepts, or any other information each, a â Submissionâ and collectively, the â Submissionsâ , despite our request that you not send us any unsolicited Submissions or other creative materials, the Submission will be treated as non-confidential and non-proprietary in each instance.",High Risk
"By using this site in any way, you unconditionally consent and agree that 1 any claim, dispute, or controversy whether in contract, tort, or otherwise you may have against Bloomberg and or its parent, subsidiaries, affiliates and each of their respective current or former members, officers, directors and employees all such individuals and entities collectively referred to herein as the â Bloomberg Entitiesâ arising out of, relating to, or connected in any way with the website or the determination of the scope or applicability of this agreement to arbitrate, will be resolved exclusively by final and binding arbitration administered by JAMS and conducted before a sole arbitrator in accordance with the rules of JAMS.",High Risk
Click to jump directly to the section Revisions to this Privacy Policy Collection and Use of Information Information that We Share with Third Parties Your Choices Responding to Do Not Track Signals The Security of Your Information Links to Other Sites International Transfer Our Policy Toward Children Questions?,High Risk
Information that We Share with Third Parties We will not share any PII that we have collected from or regarding you except as described below Information Shared with Other App Users.,High Risk
"Agreement to Arbitrate You and BloomSky agree that any dispute, claim or controversy arising out of or relating to these Terms or the breach, termination, enforcement, interpretation or validity thereof or the use of the Services or Content collectively, â Disputesâ will be settled by binding arbitration, except that each party retains the right i to bring an individual action in small claims court and ii to seek injunctive or other equitable relief in a court of competent jurisdiction to prevent the actual or threatened infringement, misappropriation or violation of a partyâ s copyrights, trademarks, trade secrets, patents or other intellectual property rights the action described in the foregoing clause ii , an â IP Protection Actionâ .",High Risk
"In this case, we may have to cancel a product or service you have with us but we will notify you if this is the case at the time.How is your personal data collected?We use different methods to collect data from and about you including through Direct interactions.",High Risk
"However, we will not be able to provide you with the Application and Services or part of them, as applicable, if you do not agree, or withdraw your consent, or request to object all as detailed under section 5 with respect to your rights to our processing of these data items.1.2 Information that we collect from third parties Analytics for Web and MobileWe use web and mobile analytics software to measure traffic and usage patterns and to help us better understand the functionality of the Application on your device or general information regarding how users use the Application.",High Risk
"In the unlikely event that Blix Inc. has not been able to resolve a dispute it has with you after attempting to do so informally, we each agree to resolve any claim, dispute, or controversy excluding any Blix Inc. claims for injunctive or other equitable relief arising out of or in connection with or relating to these Terms, or the breach or alleged breach thereof collectively, â Claimsâ , by binding arbitration by the American Arbitration Association â AAAâ under the Commercial Arbitration Rules and Supplementary Procedures for Consumer Related Disputes then in effect for the AAA, except as provided herein.",High Risk
"Although we do not collect personal information that identifies people who simply visit our site, we may collect certain information about our visitors, such as â Date and time our site was accessed â IP address â Web browser used â City, state and country We use this information to create summary statistics and to determine the level of interest in information available on our site.",High Risk
"For example, through the registration process and or through your account settings, we may collect Personal Information such as your email address, For another example, in the event you are selected as a winner in a promotion or campaign which we run through our Services and in which you participated, we may collect Personal Information such as your first name, last name, mailing address, telephone number, and your photograph in order to ship the prizes rewarded to you and publish the promotion or campaign on our Services.",High Risk
Collecting and Using Your Personal Data Types of Data Collected Personal Data While using Our Service We will not ask You to provide Us with any personally identifiable information.,High Risk
"We also contract with third-party advertising networks that may collect IP addresses and other information from web beacons on our websites, emails, and on third-party websites.",High Risk
"We will not collect additional categories of Personal Data or use the Personal Data we collected for materially different, unrelated, or incompatible purposes without providing you notice.",High Risk
"You can opt-out using the following methods Email us at privacy@boingo.com Once you have submitted an opt-out request, we will not ask you to reauthorize the sale of your Personal Data for at least 12 months.",High Risk
You agree to transmit any secure communications at your own risk.,Positive Point
"We may also collect personal information from you that includes your name and email address, and such other information as we may require to provide our services.",High Risk
"In the event that any material changes are made to Bold Screen Media, LLC boldcollective.coâ s privacy practices, we will notify you by posting the new Privacy Policy on the Site.",High Risk
"However, no data transmission over the Internet may be assured to be completely secure, so we cannot guarantee that the information we collect from you will not be accessed on our servers or intercepted during Internet transmission and we will not be liable for any damages that result from interception or misuse of information that we collect from you.",High Risk
"We will not use personal information we collected for materially different, unrelated, or incompatible purposes without providing you with notice and or updating this Privacy Policy.",High Risk
"If you send or disclose any sensitive personal information to us when you submit user-generated content to BookBub, you consent to our processing and use of such sensitive personal information in accordance with this Privacy Policy.",High Risk
"Boomerang will never sell, rent or otherwise disclose any of your personal information, including your Email address, to any third party without your consent.",High Risk
We will not disclose your personally identifiable information to third parties without your consent except where a. Boomerang is required by law to disclose information to third parties.,High Risk
"The types of data we collect directly from you includes Name, address, telephone number and email address and company name, address, contact information, and other company details if you are using a Bose business website or product Log-in credentials, if you create a Bose account Billing information, such as shipping address, credit or debit card number, verification number, and expiration date Information about purchases or other transactions with us Information about your customer service and maintenance interactions with us Information you choose to attribute in connection with your devices e.g., the name of the musical venue you upload in a Bose app and share with other users or the name you have given to your Bose product Demographic information such as your gender If you choose to participate in a Bose research study related to our products and services, information provided in connection with such research User-generated content you post in public online Bose forums e.g., the Bose Community Any other information you choose to directly provide to Bose in connection with your use of the Services.",High Risk
"The ads may be based on various factors such as the content of the page you are visiting, information you enter such as your age and gender, your searches, demographic data, user-generated content, and other information we collect from you.",High Risk
"Note, this Privacy Notice does not apply to your use of such third-party applications and services, and we are not responsible for how those third parties collect, use, and disclose your information and Content.",High Risk
We will not collect any identifying or personal information about you while you are here except as set forth in this Privacy Policy.,High Risk
Minors BGCA does not intend to collect personal information from children under the age of 13.,High Risk
"The Information BGCA Collects We respect your privacy as our online guest, and we will not collect any identifying or personal information about you while you are here except as set forth in this Privacy Policy.",High Risk
BGCA may collect personal information from you when you register with this site or sign up for a program Alumni amp.,High Risk
"We may also ask you for identifying and personal information to Inform you of new services, changes or promotions, directly or via a third-party advertising or social media network For the purposes of improving the relevancy and targeting of marketing, the information collected may be provided to third-party advertising or social media networks to generate â lookalikeâ or custom audiences.",High Risk
"We also use many cookies on the BGCA.org domain for the purposes of traffic collection and analysis, third-party advertising modeling and remarketing, and testing for conversion rate optimization.",High Risk
We will not disclose your personal information collected through this site to third parties except as described in this Privacy Policy without first informing you of such change in our disclosure practices and providing you a choice regarding such disclosure.,High Risk
"We assume no liability for any unauthorized actions of third parties or accidental transmission errors that may disclose information about you, and BGCA is not responsible for these other sites' privacy practices, which may be different from BGCA's privacy practices.",High Risk
"We use cookies to track user activity on our websites and online services, but we do not collect personal information about your online activities over time as you move across other websites and online services.",High Risk
"Our sites and applications that are age-gated are not intended for use by children, and we do not knowingly collect personal information from children under 13 through those sites and applications.",High Risk
General Data Protection Regulation Article 13 of the General Data Protection Regulation GDPR requires those who collect personal information from individuals in the European Union to provide certain information to such individuals at the time their personal information is collected.,High Risk
"In the event of unauthorized access to Personally Identifiable Information, we will notify the affected Links to Third Party Sites While using our Services, you may be referred to or linked from or to third party sites, such as educational partners whose games are included on our GameUpÂ portal.",High Risk
"Categories of sources from which the Personal Information is collected We collect Personal Information directly from the Customer, teacher and from student users.",High Risk
"We also collect Personal Information about adult users and customer prospects from third partiesâ education market information and databases, for example databases of school contacts.",High Risk
"We will not intentionally use such contextual tracking to collect highly sensitive Personal Information such as passwords, usernames, social security or personal identification numbers, financial information other than the fact that you may have visited the website or used the app of a financial institution or similar company or health information other than the fact that you have visited a health insurance or healthcare provider website or performed searches related to a particular medical condition or health concern .",High Risk
"We may share personally identifiable information with other third party organizations for their marketing or promotional use without your consent, except with respect to any specific program or feature for which you will have the ability to opt-out.",Low Risk
"We are not responsible for the collection, use or sharing of any information that you provide to third parties or that such third parties collect from you.",High Risk
"Binding Arbitration.Except for any disputes, claims, suits, actions, causes of action, demands or proceedings arising from or related to the Services, including the Terms, the data we process in connection with the Services and our Publishers and Content Creators Privacy Policy collectively, ""Disputes"" in which either Party seeks injunctive or other equitable relief for the alleged unlawful use of intellectual property, including, without limitation, copyrights, trademarks, trade names, logos, trade secrets or patents, or small claims disputes in which you or Company seeks to bring an individual action in small claims court located in the county of your billing address, you and Company i waive your and Company's respective rights to have any and all Disputes resolved in a court, and ii waive your and Company's respective rights to a jury trial.",High Risk
"Binding Arbitration.Except for any disputes, claims, suits, actions, causes of action, demands or proceedings arising from or related to the Services, including the Terms collectively, ""Disputes"" in which either Party seeks injunctive or other equitable relief for the alleged unlawful use of intellectual property, including, without limitation, copyrights, trademarks, trade names, logos, trade secrets or patents, or small claims disputes in which you or Company seeks to bring an individual action in small claims court located in the county of your billing address, you and Company i waive your and Company's respective rights to have any and all Disputes resolved in a court, and ii waive your and Company's respective rights to a jury trial.",High Risk
"In operating the Site, we collect personal information from you in a couple different situations.",High Risk
"Without these cookies we will not be able to provide services that you require, such as transactional pages and secure login accounts.",Positive Point
"If we implement significant changes to the use of your Personal Data in a manner different from that stated at the time of collection, we will notify you by posting a notice on our Website or by other means.",High Risk
"But, we receive and or collect Personal Information from you in the following ways Account.",High Risk
If you send or post an invitation message we may collect Personal Information about the recipient such as their email address or their third party website account e.g.,High Risk
"We therefore encourage you to only post information that you are sure you want to be accessible to anyone The Way We Use Personal Information.If you submit or we collect Personal Information through the App, then such Personal Information may be used by us in the following ways We will use your Personal Information to provide and improve the App, to contact you in connection with the App and certain programs or offerings that you may have registered for, and to identify and authenticate your access to the parts of the App that you are authorized to access.",High Risk
"Accordingly, we do not intend to collect Personal Information from anyone we know to be under 13 years.",High Risk
"Information We Collect Personal Information You Provide To Us Or Ask A Third Party To Provide Us We may collect personal information, including your name, cell phone number, email address, and certain demographic data, when you choose to voluntarily provide to us such information, such as by subscribing to a newsletter, making inquiries regarding our services, requesting breaking news alerts, reporting any problems with our Site, participating in a promotional offer, providing us with feedback on our Site, or otherwise.",High Risk
"We also collect personal information from individuals who work for business contacts of BREITBART, such as service providers, vendors, and others.",High Risk
"We will not be held responsible for any items, data, or user accounts lost or compromised due to offsite activities.",High Risk
We are not responsible for the use of any personal information you disclose through any Forum.,High Risk
"We are not responsible for the use of any personal information you disclose to or through our customers or partners or third-party sites, applications or services.",High Risk
"Notwithstanding the foregoing, we will not disclose credit information about you to Brigit affiliates or to unaffiliated parties except as required or permitted by law.",High Risk
You agree to indemnify and hold harmless Brigit from and against any loss incurred as a result of its withdrawal of a preauthorized debit transaction from your Bank Account or debit card if any of the information relied upon in your request to stop payment is incorrect or incomplete.,High Risk
To the limited extent we collect Personal Information â we neither rent nor sell your Personal Information to anyone.,High Risk
"To the extent this information does not constitute personal information because it does not identify you or anyone else, the Australian Privacy Principles do not apply and we may use this information for any purpose and by any means whatsoever.How We Collect Personal InformationWe collect your personal information directly from you unless it is unreasonable or impractical to do so.",High Risk
"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice.",High Risk
"When we make changes to this privacy notice, we will notify you by email or through a notice on our website Contact Information If you have any questions or comments about this notice, our Privacy Statement, the ways in which we collect and use your personal information, your choices and rights regarding such use, or wish to exercise your rights under California law, please do not hesitate to contact us at Phone 855 918-0447 Website www.briteboxllc.com Email info@briteboxllc.com Postal Address BriteBox LLC Attn Privacy Compliance Officer 9100 Conroy Windermere Rd Windermere, FL 34786 Arbitration Agreement.",High Risk
When do we collect personal information about you?,High Risk
"We collect personal information about you whenever you use our services whether these services are provided by us or by other companies or agents acting on our behalf , including when you travel with us, when you use our website or mobile applications, or interact with us via email or use our contact centres.",High Risk
"Indemnification You agree to indemnify, defend, and hold harmless The British Food Depot, its officers, directors, employees, agents, licensors and suppliers collectively the ""Service Providers"" from and against all losses, expenses, damages and costs, including reasonable attorneys' fees, resulting from any violation of these terms and conditions or any activity related to your account including negligent or wrongful conduct by you or any other person accessing the site using your Internet account.",High Risk
"We will not use or disclose your Personal Data in ways unrelated to the ones described above without first notifying you and offering a choice, unless we reasonably consider that we need to use it for another reason and that reason is compatible with the original purpose.",High Risk
"This notice describes how we collect personal information and how we use, share and protect it.",High Risk
We also collect personal information about you from other sources.,High Risk
"Please click on the links to learn more When we collect information Information we collect directly from you Other sources of information We collect personal information when you access our products and services, including mobile apps create an online account with one of our stores participate in a prize promotion, contest or event make a purchase on one of our online stores or return something to us submit a review or participate in a survey communicate with us via social media contact us for assistance submit an application for employment interact with us on social media We collect personal information from you, which might include Name, date of birth or country of residence Contact information such as email address, telephone number, address Account details such as user name, password and unique user ID Payment information such as debit or credit card details Photographic proof of age Your reviews about our products and services, information about your preferences and consumption habits Marketing communication and cookie preferences Employment history, salary expectations Details of your contact with us including recordings of any telephone calls Photographs and videos submitted by you or taken at one of our events Profile pictures and social media profile information Information about another individual.",High Risk
We also collect personal information from other sources Information received as part of routine card verification fraud checks.,High Risk
"Access to services by individuals who are underage Our services are not directed to individuals who are under the legal age to purchase alcohol, and we do not knowingly collect personal information from such individuals.",High Risk
"We will notify you of the purposes for which your personal information may be collected, used, disclosed and or processed, as well as obtain your consent for the collection, use, disclosure and or processing of your personal information for such intended purposes, unless an exception under law permits to do so without your consent.",High Risk
"We will notify you of the purposes for which your personal information may be collected, used, disclosed and or processed, as well as obtain your consent for the collection, use, disclosure and or processing of your personal information for the intended purposes, unless an exception under the law permits us to collect and process your personal information without your consent.",High Risk
"We may share with third parties certain pieces of aggregated, non-personal information such as the number of sites, devices accessed while using BrowserStack, for example.",Low Risk
"Although we will implement safeguards to protect Account-Related Information and other Personal Information we collect, we cannot guarantee the security of any data transmitted us and any transmission of Account-Related Information is at your own risk.",High Risk
"We will notify serious data breaches in respect of Account-Related Information or other Personal Information as required by law without undue delay, A Personal Information breach in this context means a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of, or access to, Personal Information transmitted, stored or otherwise processed.",High Risk
"Children The Service is not directed to children, as defined under applicable laws and specifically under 16 in the EEA or 13 in the U.S.A â Childâ .. We do not knowingly collect Personal Information from anyone that is considered to be a child.",High Risk
"If we determine upon collection that a user is a child , we will not use or maintain his her Personal Information without the parent guardianâ s consent.",High Risk
Categories of Sources of Collection We generally collect Personal Information from the following two categories of sources 1 you provide Personal Information directly to us or 2 we automatically collect Personal Information from you when you use our Sites e.g.,High Risk
The chart above describes in more detail the categories of sources from which we collect Personal Information.,High Risk
SOURCE 1 We Collect Personal Information You Provide.,High Risk
We collect Personal Information that you provide directly to us.,High Risk
SOURCE 2 We Collect Personal Information Automatically.,High Risk
"We collect Personal Information when you register with BuildStore your username, e-mail address.",High Risk
We collect Personal Information when you register your device with BuildStore unique device identifier UDID .,High Risk
We collect Personal Information when you pay for BuildStore subscription PayPal payment processor identifier.,High Risk
We collect Personal Information only if you choose to share it with us.,High Risk
We do not use cookies or Web beacons to collect Personal Information.,High Risk
"We will not disclose Personal Information to third parties without your consent, except as explained in this Privacy Policy.",High Risk
"As a result, while we strive to protect information transmitted on or through the Service, we cannot and do not guarantee the security of any information you upload, store, share, transmit, or provide on or through the Service, and you do so at your own risk.Children's PrivacyWe do not knowingly collect Personal Information from users under the age of 16.",High Risk
"Any transmission of Personal Information is at your own risk and we do not guarantee that information that you transmit or otherwise supply to us, or any communications conducted on or through the Site, is or will be totally secure.",Positive Point
"Insolvency in relation to you If any insolvency on your part occurs before you become the legal owner of the item s or we have reasonable grounds to believe such insolvency is about to happen then, without limiting any of our other rights or remedies under the contract or at law 1 we will not be obliged to complete any storage service or any collection or delivery service that you have requested, and 2 we may take the item s back and you must give them back immediately if we ask, and 3 if necessary we may enter any premises which you own or control, to get the item s .",High Risk
If you ask us for our collection or delivery service we will not be obliged to provide any of those services until you have paid the outstanding sums as well as the price for the order for the service s .,High Risk
"If any of the conditions is not met, we will not provide your goods for you to collect.",High Risk
We do not knowingly permit third parties to collect personal information about an individual Userâ s online activities over time and across different online services when using the App.,High Risk
No refunds will be issued for participants who do not collect their tickets or vehicle passes before the Box Office closes.,High Risk
Information that We Share with Third Parties We will not share any PII that we have collected from or regarding you except as described below Information Shared with Our Services Providers.,High Risk
"Dispute Resolution for Individual Consumers Agreement to Arbitrate If you are accessing and using the Services as an individual consumer not on behalf of a company or other legal entity , you and Buycott agree that any dispute, claim or controversy arising out of or relating to these Terms or the breach, termination, enforcement, interpretation or validity thereof or the use of the Services or Content collectively, â Disputesâ will be settled by binding arbitration, except that each party retains the right i to bring an individual action in small claims court and ii to seek injunctive or other equitable relief in a court of competent jurisdiction to prevent the actual or threatened infringement, misappropriation or violation of a partyâ s copyrights, trademarks, trade secrets, patents or other intellectual property rights the action described in the foregoing clause ii , an â IP Protection Actionâ .",High Risk
"If you send a ""Do Not Track"" request through your web browser, we may still collect and use your browsing data to improve security, to provide our Services and to generate reporting statistics, but in general we will not track other web sites that you may have visited.",High Risk
"Without limiting the foregoing, Client may not, except to the extent permitted by applicable law, i create profiles of users or visitors of Kids' Sites, ii purchase, sell, place or facilitate the placement of behaviorally targeted Ads on Kids' Sites, or iii collect personal information as defined by COPPA about users or visitors of Kids' Sites.",High Risk
"BuzzFeedâ s legal entities are listed in our â BuzzFeed Legal Entitiesâ section With vendors, consultants, and other service providers who process your data on our behalf when they provide services to us, for example data analytics, ad networks, research, marketing and financial services With third parties who use it for their own purposes if you have provided consent In connection with, or during negotiations of, any merger, sale of company assets, financing or acquisition of all or a portion of our business by another company We may be legally required to disclose or share your personal data without your consent in some circumstances, for example to comply with a court order or law enforcement.",High Risk
"We do not have access to, nor control over, these third parties' data collection practices and we do not assume any liability related to their collection or use.User-generated contentAll of the forums on BYOND should be treated as public, and as such, you should avoid the posting of any personal information.",High Risk
"Any third-party advertising or traffic measurement services used by BYOND are individually responsible for whatever limited information they may collect e.g., your IP address, or cookies created by these services , subject to their respective privacy policies.",High Risk
"We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, request user or technical support, apply for a job or otherwise communicate with us.",High Risk
"CHILDREN'S INFORMATION The Services are not directed to children under 13 or other age as required by local law , and we do not knowingly collect personal information from children.",High Risk
"PERSONAL INFORMATION Because of the nature of our product, we must collect personal information from users during the registration process, including at minimum first and last names, an email address, and billing contact information.",High Risk
Personally identifiable information will be requested when needed and will never be collected automatically without your consent.,High Risk
"We will not use this for marketing or advertising For business transfers We may share or transfer Your personal information in connection with, or during negotiations of, any merger, sale of Company assets, financing, or acquisition of all or a portion of our business to another company.",Low Risk
Calendly is not directed to children under thirteen 13 years of age and we do not knowingly collect Personal Information from children under 13.,High Risk
"You agree to indemnify and hold Calendly, its parents, subsidiaries, affiliates, officers, agents, employees, resellers or other partners, and licensors harmless from any claim, demand, loss, or damages, including reasonable attorneysâ fees, arising out of or related to Personal Data, or the use thereof, including but not limited to allegations that any processing of Personal Data by Calendly and or you under this Agreement violates any applicable law or regulation, or infringes the privacy or intellectual property rights of a third party, any content that you disclose to Calendly via your use of the Calendly Website, your use of the Website, your violation of these Terms, or your violation of any relevant law.",High Risk
We do not knowingly collect personal information from anyone under the age of 13 unless we first obtain permission from that child's parent or legal guardian.,High Risk
"You acknowledge that the Internet and wireless communications are not inherently secure means of data communication and while the Calyx Parties Mobile Citizen Parties have taken commercially reasonable steps to secure transmission and storage of your data and access to the Service, the Calyx Parties and the Mobile Citizen Parties shall have no liability for breaches of security beyond their reasonable control, including, without limitation, your negligence with respect to controlling access to the Service or your data.",Positive Point
"Waiver of Jury Trial ANY DISPUTE, CONTROVERSY OR CLAIM BETWEEN YOU AND THE MOBILE CITIZEN PARTIES ARISING OUT OF OR RELATING TO THE SUBJECT MATTER OF THESE TERMS OF SERVICE, OTHER THAN ANY ACTION FOR INJUNCTIVE RELIEF OR ANY ACTION TO COLLECT AMOUNTS DUE HEREUNDER, BOTH OF WHICH MAY BE BROUGHT IN ANY COURT OF COMPETENT JURISDICTION A â MOBILE CITIZEN DISPUTEâ , WILL BE FINALLY DETERMINED BY BINDING ARBITRATION IN DENVER, COLORADO, USA IN ACCORDANCE WITH THE COMMERCIAL RULES â RULESâ OF THE AMERICAN ARBITRATION ASSOCIATION â AAAâ .",High Risk
"ANY DISPUTE, CONTROVERSY OR CLAIM BETWEEN YOU AND THE CALYX PARTIES ARISING OUT OF OR RELATING TO THE SUBJECT MATTER OF THESE TERMS OF SERVICE, OTHER THAN ANY ACTION FOR INJUNCTIVE RELIEF OR ANY ACTION TO COLLECT AMOUNTS DUE HEREUNDER, BOTH OF WHICH MAY BE BROUGHT IN ANY COURT OF COMPETENT JURISDICTION A â CALYX DISPUTEâ , WILL BE FINALLY DETERMINED BY BINDING ARBITRATION IN NEW YORK, NEW YORK USA IN ACCORDANCE WITH THE RULES OF AAA.",High Risk
"â Information You Provide Cameo may collect personal information from you when you Cameo collects your name and email address and the other information that you provide, such as a telephone number, when you register or login, update, or add information or content to your account.",High Risk
"Cookies and Tracking Technologies â Cookies and Tracking When you visit our Site or otherwise interact with us or our content, we and third-party advertising and analytics companies and other third party business partners may use a variety of tracking and other technologies that automatically or passively collect certain information ""Usage Information"" .",High Risk
"We do not knowingly collect personal information from children younger than the age of 13 or under the applicable legal age outside of the United States , without the consent of a parent or legal guardian.",High Risk
"If you are a parent or legal guardian who believes that we have collected or used your childâ s personal information without your consent, please contact us.",High Risk
We and our third party advertising and analytics providers may collect personal information over time when you visit the Site or other online websites and services.,High Risk
"However, no method of transmission over the Internet, or method of electronic storage, is 100 secure and you use our Site and transmit information to us at your own risk.",Positive Point
"If we are unable to verify that the individual submitting the request is the same individual about whom we have collected information or someone authorized by that individual to act on their behalf , we will not be able to process the request.",High Risk
"If we are unable to verify that you are the subject of the request or an authorized agent , we will not provide the information requested.",High Risk
"You acknowledge and agree that we are not responsible or liable for any damages, losses, costs, expenses, or liabilities related to any unauthorized access to or use of your Site account.â Return to Top2.",High Risk
"If your Submission consists of any idea, suggestion, proposal, plan, or other material related to our business individually, and collectively, â Feedbackâ , you acknowledge and agree that you are submitting that Feedback at your own risk and that Cameo has no obligation including no obligation of confidentiality or privacy with respect to that Feedback, and you grant to Cameo a non-exclusive, royalty-free, fully paid, unlimited, universal, sublicensable through multiple tiers of sublicenses , perpetual, and irrevocable license, in any and all manner and media, whether now known or hereinafter invented or devised, to reproduce, license, distribute, modify, adapt, publicly perform, publicly display, create derivative works of for example, translations, adaptations, or other changes , and otherwise use and exploit in any manner including commercially , any and all Feedback.",High Risk
"IndemnificationYou agree to indemnify, defend, and hold harmless Cameo and its parents, subsidiaries, affiliates, officers, employees, directors, shareholders, agents, partners, vendors, and licensors each, a â Cameo Party,â and collectively, â Cameo Partiesâ from and against any and all claims, costs, proceedings, demands, losses, damages, and expenses including reasonable attorneysâ fees and costs of any kind or nature arising from, out of, in connection with, or relating to a these Terms.",High Risk
"You acknowledge and agree that we are not responsible or liable for any damages, losses, costs, expenses, or liabilities related to any unauthorized access to or use of your Site account.",High Risk
"To the extent you submit any ideas, suggestions, proposals, plans, or other materials related to our business individually, and collectively, â Feedbackâ , you acknowledge and agree that you are submitting that Feedback at your own risk and that Cameo has no obligation including of confidentiality or privacy with respect to your Feedback, and you grant to Cameo a non-exclusive, royalty-free, fully paid, unlimited, universal, sublicensable through multiple tiers of sublicenses , perpetual, and irrevocable license, in any and all manner and media, whether now known or hereinafter invented or devised, to reproduce, license, distribute, modify, adapt, publicly perform, publicly display, create derivative works of, and otherwise use and exploit in any manner including commercially , any and all Feedback.",High Risk
"Indemnification You agree to indemnify, defend, and hold harmless Cameo and its parents, subsidiaries, affiliates, officers, employees, directors, shareholders, agents, partners, and licensors each, a â Cameo Party, â and collectively, â Cameo Partiesâ from and against any and all claims, costs, proceedings, demands, losses, damages, and expenses including reasonable attorneysâ fees and costs of any kind or nature, arising from, out of, in connection with, or relating to a these Terms.",High Risk
As part of providing a great experience for you this sometimes requires us to collect personal information from you.,High Risk
"We will notify users of any breach resulting in unauthorized release of data electronically, at minimum, and without unreasonable delay so that you can take appropriate steps.",High Risk
And thatâ s why we do not knowingly collect personal information from anyone under 16.,High Risk
"CBC Radio-Canada shall, wherever possible, collect personal information that is intended to be used for an administrative purpose directly from the individual to whom it relates except where the individual authorizes otherwise.",High Risk
"If you don't want us to collect personal information about you, you shouldn't register or How does CBC protect the information I share?",High Risk
Registration Information We also collect personal information that you choose to share with us in the registration and interactive portions of this website.,High Risk
"While we do not disclose personably identifiable information to those operating these linked sites, we are not responsible for the privacy practices of such other sites.",High Risk
"At times, the government may need to collect personal information from you.",High Risk
"We will not use any personal information that we collect from you through social media accounts to make decisions in processes that you are directly involved in, for example, an employment insurance application, a grant application or a citizenship application.",High Risk
"Our responsibilities Whenever we collect personal information from you on social media and whenever personal information is created as a result of your interactions with us on social media, we have to comply with the Privacy Act and the Access to Information Act.",High Risk
We will not store or collect Your payment card details.,High Risk
"We expect any change of ownership to respect this.We will not rent or sell your information to third parties without your consent, except as noted in this Policy.Assignment and or Change of ControlIf we incorporate, sell, or otherwise transfer part or the whole of the Service, User Content and any other information collected through the Service may be assigned and or transferred to the new entity.",High Risk
"If we collect materially different personal data or materially change how we collect, use or share your data, we will notify you and may also modify this Privacy Policy.",High Risk
"If we make any material changes in the way we collect, use, and or share information held in cookies, we will notify you by prominently posting notice of the changes on the Website.",High Risk
"In the unlikely event that Canva has not been able to resolve a dispute it has with you after attempting to do so informally, we each agree to resolve any claim, dispute, or controversy excluding any Canva claims for injunctive or other equitable relief arising out of or in connection with or relating to this Agreement, or the breach or alleged breach thereof collectively, â Claimsâ , by binding arbitration by the American Arbitration Association â AAAâ under the Commercial Arbitration Rules and Supplementary Procedures for Consumer Related Disputes then in effect for the AAA, except as provided herein.",High Risk
